,country,continent,c1UrbanPopChange_2000-2020,c1UrbanPopChange_2010-2020,c1UrbanPopChange_2010-2030,c1UrbanPopChange_2020-2030,c2UrbanPopChange_2000-2020,c2UrbanPopChange_2010-2020,c2UrbanPopChange_2010-2030,c2UrbanPopChange_2020-2030,c3UrbanPopChange_2000-2020,c3UrbanPopChange_2010-2020,c3UrbanPopChange_2010-2030,c3UrbanPopChange_2020-2030,NonUrbanPopulation_10YearLag2020,NonUrbanPopulation_10YearLag2030,NonUrbanPopulation_20YearLag2020,NonUrbanPopulation_20YearLag2030,PopChange_2000-2020,PopChange_2010-2020,PopChange_2010-2030,PopChange_2020-2030,Population2000,Population2010,Population2020,Population2030,UrbanPopulation2000,UrbanPopulation2010,UrbanPopulation2020,UrbanPopulation2030,UrbanPopulation_10YearLag2020,UrbanPopulation_10YearLag2030,UrbanPopulation_20YearLag2020,UrbanPopulation_20YearLag2030,Region,Income group
217,Serbia,Europe,21561,3810,11088,3079,715876,364473,359261,125260,715876,364473,359261,125260,208971,145355,403576,301990,1523271,642815,935130,506268,13595504,13158575,12581709,11873924,7375520,7173319,7010287,6593703,198716,84256,496362,255622,Europe & Central Asia,Upper middle income
218,Seychelles,Africa,0,0,0,0,4798,2763,5084,3753,4798,2763,5084,3753,0,0,0,0,25959,12776,18849,7209,77942,89797,102321,107713,16418,17880,33344,43955,12842,6886,12842,21090,Sub-Saharan Africa,High income
219,Sierra Leone,Africa,8183,3743,10290,4327,1595110,1021236,1957924,1009977,1595110,1021236,1957924,1009977,19589,36442,20043,34877,3773182,1841835,3718226,1936363,4626146,6492359,8308604,10198533,2056295,3190509,4514384,5734875,328680,251448,906878,613977,Sub-Saharan Africa,Low income
220,Singapore,Asia,0,0,0,0,1832858,844583,1600133,824593,1832858,844583,1600133,824593,0,0,0,0,1842111,848846,1613892,832481,4008951,5104718,5838524,6171572,3999829,5097543,5827888,6165350,703,11645,7740,14228,East Asia & Pacific,High income
221,Slovakia,Europe,7875,2799,7303,6299,159253,91593,133021,76357,159253,91593,133021,76357,63316,57816,100533,87505,902002,458696,787283,435924,8119014,8150021,8241176,8386550,3688945,3552775,3447827,3527636,52680,126394,136817,150642,,
222,Slovenia,Europe,2081,766,1628,297,85134,51902,81313,37121,85134,51902,81313,37121,7784,21565,16979,27900,354249,166207,285535,160856,2843495,2945354,3028839,3010014,1007287,1056399,1099774,1100738,20496,16046,68255,35776,Europe & Central Asia,High income
223,Solomon Islands,Oceania,0,0,711,630,46915,33742,80930,50931,46915,33742,80930,50931,0,6831,0,4200,261207,151968,315714,167849,416875,525177,672583,835649,56737,87626,134314,193799,12979,15078,30661,28931,East Asia & Pacific,Lower middle income
224,Somalia,Africa,2011,1541,3639,33377,5521944,4155719,7140311,3888558,5521944,4155719,7140311,3888558,30561,104728,25608,30137,9299818,6513251,11558960,5814922,8793767,12100599,16614480,22393280,6719294,9685174,13362650,18027081,941113,863193,2003985,1999437,Sub-Saharan Africa,Low income
225,South Africa,Africa,237285,62990,117548,29938,13425329,7515481,13122827,6040121,13425329,7515481,13122827,6040121,406124,311563,811268,570186,22198447,12079099,19978276,8906186,53284985,58950857,66931986,73606869,32579904,38448312,46241709,52791683,1458900,1222494,3242469,2691215,Sub-Saharan Africa,Upper middle income
226,South Georgia and the South Sandwich Islands,South America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
227,South Sudan,Africa,28956,93096,111423,125990,1275049,1848053,3387725,2951590,1275049,1848053,3387725,2951590,287602,475850,89566,306023,7847831,5230690,8628856,4866991,6191402,9834222,10678497,12620717,2319196,4685632,6060731,8544457,1528889,1088972,3540928,3182672,Sub-Saharan Africa,Low income
228,Spain,Europe,77415,19432,45233,10656,6415726,3444176,4270915,1008615,6415726,3444176,4270915,1008615,660474,517111,481395,1055094,11424146,4718160,6817503,2454111,52167181,59537604,60556668,60175625,34067999,39282041,41297477,41114598,943789,377009,2691306,1269870,Europe & Central Asia,High income
229,Spratly Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
230,Sri Lanka,Asia,267292,124430,180646,22335,1819632,1260996,1655245,704261,1819632,1260996,1655245,704261,574558,169080,760359,604889,8212905,5190513,7281604,3342937,18875959,20778896,21837318,22304017,8096362,9257147,9723875,10073697,775468,300197,1534473,960960,South Asia,Lower middle income
231,St Lucia,North America,3050,2280,2669,0,6551,5010,7091,3226,6551,5010,7091,3226,12291,0,16258,12328,41745,24905,35960,13755,162532,173980,182431,186357,79289,81068,79670,80621,11429,1672,18958,12985,,
232,St. Kitts and Nevis,North America,17,0,0,0,1219,764,734,203,1219,764,734,203,0,0,309,0,9754,5833,7144,2158,46537,48602,48884,49434,12955,12539,12313,12210,1027,0,1027,1054,Latin America & Caribbean,High income
233,St. Vincent and the Grenadines,North America,1506,949,1620,0,1746,1020,1220,659,1746,1020,1220,659,20040,0,19897,18591,14933,11543,15025,5424,123239,117743,111834,110642,66372,62170,37069,36883,332,0,332,373,Latin America & Caribbean,Upper middle income
234,Sudan,Africa,64427,54604,108540,89060,8181248,5835473,11722601,7582428,8181248,5835473,11722601,7582428,286178,393424,272939,375112,23705789,15856980,28347965,13439467,27223234,34945892,46026304,59006253,18403890,24367378,31173574,40528696,3950232,2325199,7530255,7128945,Sub-Saharan Africa,Low income
235,Suriname,South America,0,4902,3578,276,46771,22856,38687,22774,46771,22856,38687,22774,13716,7806,0,14715,192345,88785,157307,74297,469828,538093,601857,657378,227157,275117,312074,354065,38803,32487,75307,70020,Latin America & Caribbean,Upper middle income
236,Svalbard and Jan Mayen,Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4454,2579,4994,2415,8272,10147,12726,15141,0,0,0,0,0,0,0,0,,
237,Swaziland,Africa,11651,4517,14262,3655,36026,17283,23955,18693,36026,17283,23955,18693,32825,46346,40246,64290,746843,487989,729806,348280,1151222,1228687,1317356,1457406,279247,273109,224182,203630,15486,11661,30087,13258,,
238,Sweden,Europe,30925,17894,52912,10397,1730713,1179535,1832516,747816,1730713,1179535,1832516,747816,174683,140663,223096,293518,3533400,2130319,3552578,1576529,16880713,17816711,19663541,20851885,8517081,9312086,10768217,11621382,522744,318727,920645,850490,Europe & Central Asia,High income
239,Switzerland,Europe,37456,14140,30489,6114,916900,560590,864224,358135,916900,560590,864224,358135,108637,66526,160278,144105,2382258,1270527,2115015,937812,10555289,11487156,12675372,13407408,5368122,6058706,6937783,7438500,441656,249447,857891,685667,Europe & Central Asia,High income
240,Syrian Arab Republic,Asia,51058,5855,129473,123131,3474366,768991,5942145,7454267,3474366,768991,5942145,7454267,260827,429865,215172,484098,5736538,1301272,9751087,11026106,19668175,26985463,25108577,36076993,12578153,19074496,17181559,26181549,297345,1887884,1462878,2005410,Middle East & North Africa,Low income
241,São Tomé and Príncipe,Africa,0,0,0,0,54065,29666,66114,37700,54065,29666,66114,37700,0,0,0,0,75447,37200,82932,46229,144293,182929,218809,265037,92411,120476,157774,197183,7633,1708,11298,10593,Sub-Saharan Africa,Lower middle income
242,"Taiwan, China",Asia,20027,4258,13699,4782,2794811,1477837,2426761,1072825,2794811,1477837,2426761,1072825,166070,267277,272455,369708,3868064,1962591,3183263,1417017,23993878,24983909,25809154,26063889,20118901,21029813,21767076,22090084,134824,166266,457583,268933,East Asia & Pacific,High income
243,Tajikistan,Asia,104388,60350,112714,25868,1621940,1077139,2219631,1283487,1621940,1077139,2219631,1283487,296117,185127,342750,385917,4397779,2558010,4983930,2456665,8056048,9783535,12246436,14664634,4239073,5622742,7305678,9132745,871573,711392,1758030,1588755,Europe & Central Asia,Lower middle income
244,Tanzania,Africa,469523,261653,652315,412359,8701815,6105268,13519012,8606422,8701815,6105268,13519012,8606422,1132134,1876389,1231357,1798084,35586477,21342162,42523909,22658554,34633402,45308607,61979011,82241917,11588301,17061808,26010370,37904342,4435705,5021415,7842859,9189588,Sub-Saharan Africa,Lower middle income
245,Thailand,Asia,250176,100066,296885,105419,9215491,5795005,9946841,4728222,9215491,5795005,9946841,4728222,1815430,1699384,2173305,2748925,21077276,11657176,20711233,10146486,65308628,70683456,74053652,74708012,25640257,30559202,34654551,37502668,2275321,1978570,5149924,4037604,East Asia & Pacific,Upper middle income
246,Timor-Leste,0,12752,546,2726,6636,210244,134777,264438,141248,210244,134777,264438,141248,4922,29290,45039,9205,504776,283522,522713,263274,884817,1096748,1309171,1504896,267519,356270,548419,676413,67144,20874,113803,72858,East Asia & Pacific,Lower middle income
247,Togo,Africa,21392,9398,29713,21957,1323733,902243,1899604,1102540,1323733,902243,1899604,1102540,50289,92189,74021,87153,3833855,2106244,4229415,2234203,4983089,6545128,8423471,10536069,2979037,4173852,5264527,6529873,342766,268944,1217531,615296,Sub-Saharan Africa,Low income
248,Tokelau,Oceania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,370,547,177,1347,1104,1474,1651,0,0,0,0,0,0,0,0,,
249,Tonga,Oceania,1,0,0,0,6183,1435,7950,6516,6183,1435,7950,6516,0,0,2932,0,12076,3005,14134,11131,106540,111861,109899,119355,54268,55399,56013,63703,0,1362,1813,1362,East Asia & Pacific,Upper middle income
250,Trinidad and Tobago,North America,6153,2926,5846,1674,88634,54962,75958,29164,88634,54962,75958,29164,45603,16740,43606,50828,261429,160121,232980,85231,1353269,1432747,1541075,1570923,921505,977148,982761,986169,26428,24889,63638,40984,Latin America & Caribbean,High income
251,Tromelin Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
252,Tunisia,Africa,12613,3556,6568,1717,1995421,1214221,2008543,892607,1995421,1214221,2008543,892607,28888,47137,61023,57150,3510336,1837987,3169637,1428787,12186763,13418036,14981843,16140900,6929669,7988975,9500940,10476165,438968,223489,941917,690564,Middle East & North Africa,Lower middle income
253,Turkmenistan,Asia,58232,24933,35129,3926,894465,599345,1098391,545621,894465,599345,1098391,545621,112400,38547,199897,128727,2180183,1280829,2274486,1018796,5879333,6777450,8037455,9045706,2972961,3654300,4517852,5311603,362071,290799,800913,656654,Europe & Central Asia,Upper middle income
254,Turks and Caicos Islands,North America,0,3116,3680,89,0,6000,6281,2324,0,6000,6281,2324,4288,1630,0,5060,38840,36402,40598,9020,17157,27242,46417,50470,0,13351,20510,21082,11938,1045,20510,12138,Latin America & Caribbean,High income
255,Tuvalu,Oceania,0,0,0,0,0,1795,3251,1563,0,1795,3251,1563,0,0,0,0,3202,1940,3512,1572,9018,9698,9843,10389,0,4463,6722,8284,463,0,6722,570,East Asia & Pacific,Upper middle income
256,Türkiye,Asia,121819,56671,134747,48927,22775039,11703882,16464277,6309405,22775039,11703882,16464277,6309405,420192,503572,884584,692321,34036994,16581204,25541972,10405218,80745877,92258202,106119193,112137934,56231386,67930359,80433235,84525042,2884343,1402891,6995268,4437960,Europe & Central Asia,Upper middle income
257,Uganda,Africa,1112406,692410,1486133,808750,2954334,2214996,4762637,3445396,2954334,2214996,4762637,3445396,2230375,2828561,2557008,3255965,26715922,16168228,31502749,16859242,24097044,32437453,44498989,58485518,6596581,8972620,12473236,16732012,3517460,3151230,5418689,5651487,Sub-Saharan Africa,Low income
258,Ukraine,Europe,47737,13096,57577,33641,1883520,996703,782103,346360,1883520,996703,782103,346360,675228,1497498,1498238,1844599,4448656,2134158,2703987,1765311,74093328,69242867,66552340,58039642,48410253,44756254,42499556,35857702,420761,569483,1159534,713209,Europe & Central Asia,Upper middle income
259,United Arab Emirates,Asia,30649,14850,26758,2160,3401116,1685449,2177778,588375,3401116,1685449,2177778,588375,196155,30308,55456,196532,6543369,2521652,3447872,1004372,3572390,9213591,10114852,10889416,2617049,7836871,8371847,8857394,381986,99718,2378495,491849,Middle East & North Africa,High income
260,United Kingdom,Europe,45173,10387,20469,4921,11272100,6010245,9249650,3526878,11272100,6010245,9249650,3526878,172885,143508,298856,241997,15366631,7781236,12496642,5425552,96504217,102873352,109874410,113323086,71108572,76976738,83541003,86954908,1063964,584777,2356987,1600351,Europe & Central Asia,High income
261,United States,North America,2137081,398798,843137,342723,32160821,18996494,30489028,13944252,32160821,18996494,30489028,13944252,4214850,3628193,8501982,5567370,80679259,37237692,63108507,30486430,359891611,395743513,426504115,446828706,174869062,199601836,227729301,247229925,14680201,11381687,30929089,24681963,North America,High income
262,Uruguay,South America,9086,3217,4744,73,274930,135488,213468,94439,274930,135488,213468,94439,26599,696,42044,26121,472940,218213,353400,160678,3942924,4016483,4109337,4103503,2974774,3063922,3148633,3143986,60034,29708,118748,89733,Latin America & Caribbean,High income
263,Uzbekistan,Asia,228844,69631,232726,80711,4323425,2688920,5227994,2986536,4323425,2688920,5227994,2986536,466580,618026,875680,909430,11739745,6701244,12857103,6281765,32816058,37642281,44073801,50342848,18791155,22413075,26988826,31392396,2452141,1962580,4873338,4517277,Europe & Central Asia,Lower middle income
264,Vanuatu,Oceania,1426,1279,2872,0,26550,14116,32704,19998,26550,14116,32704,19998,5392,0,3319,6934,120642,66702,146344,79896,193561,247342,314016,393536,34659,52128,66472,97899,4356,11570,7335,17271,East Asia & Pacific,Lower middle income
265,"Venezuela, RB",South America,38461,6525,19106,8372,3369844,1132381,2815067,2602365,3369844,1132381,2815067,2602365,124557,53699,170323,102606,5571338,1643560,4284625,3642944,24755110,29096347,28857618,32435460,19823244,23688507,23359529,26372220,282240,502332,1570874,751870,Latin America & Caribbean,
266,Vietnam,Asia,514731,136727,297199,94987,15052197,7631740,12458574,6177239,15052197,7631740,12458574,6177239,1268739,1027655,2355111,1690144,34910461,16459004,27661022,13608304,82391671,90982836,100407355,106500363,43279024,50272516,56909025,61073986,2965870,1993935,8024593,4699601,East Asia & Pacific,Lower middle income
267,Virgin Islands (U.S.),North America,184,1754,1663,0,1567,1211,1123,234,1567,1211,1123,234,28623,0,9495,19864,12542,7655,8184,2146,113238,110970,104679,97215,47228,66648,32749,36982,0,6735,1526,104,Latin America & Caribbean,High income
268,Wake Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
269,Wallis and Futuna,Oceania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,22,19,0,14759,13190,11696,11268,0,0,0,0,0,0,0,0,,
270,West Bank and Gaza,0,21302,6593,22099,10239,891441,563823,1193337,675062,891441,563823,1193337,675062,29483,52953,56369,58221,1386514,791621,1717126,926309,2520981,3115654,3907110,4831672,1788535,2290178,3028032,3807915,196959,148650,383453,361144,Middle East & North Africa,Lower middle income
271,Western Sahara,0,19035,0,0,0,203543,119081,195717,82257,203543,119081,195717,82257,0,0,51599,0,312710,154570,269302,115042,290580,446403,599722,714278,212057,302867,444313,576743,22378,50266,62156,78188,,
272,"Yemen, Rep.",Asia,139523,66702,150491,84028,8581904,5258214,10202400,5744243,8581904,5258214,10202400,5744243,328596,393553,438926,447919,14651933,8584138,16334027,8104940,19169026,25439612,33172617,40993951,12665975,17837811,24567403,31494994,2176111,1708253,3934783,4152905,Middle East & North Africa,Low income
273,Zambia,Africa,16993,18347,33348,15397,3574229,2243825,4976758,2960405,3574229,2243825,4976758,2960405,67624,106942,53140,109724,10076667,5722632,11886981,6428579,10176409,14179804,19459084,25376163,4213138,6472109,9249685,12599812,660232,559215,1659729,1345446,Sub-Saharan Africa,Lower middle income
274,Zimbabwe,Africa,20563,7950,11191,3686,540661,410428,816131,813115,540661,410428,816131,813115,72107,45144,111610,62311,9009330,6086757,10146867,5115369,12497034,13559017,16541412,20246303,4397745,4611014,4820412,5744957,540485,233331,886559,788165,Sub-Saharan Africa,Lower middle income
